green eggs and ham |by*1|i*8|thank*1|would*1|
eat them with a |fox*2|goat*1|mouse*1|
them with a fox |and*1|i*2|not*1|
with a fox not |in*2|
a fox not in |a*2|
fox not in a |box*1|house*1|
not in a box |i*1|not*2|
in a box not |with*2|
a box not with |a*2|
box not with a |fox*1|mouse*1|
not with a fox |i*2|not*1|
not in a house |not*2|
in a house not |in*1|with*1|
a house not with |a*1|
house not with a |mouse*1|
not with a mouse |i*1|not*1|
a mouse i would |not*1|
mouse i would not |eat*1|
i would not eat |green*1|them*2|
would not eat them |anywhere*1|here*1|
not eat them here |or*3|
eat them here or |there*3|
not eat them anywhere |i*2|
eat them anywhere i |do*2|would*1|
them anywhere i would |not*1|
anywhere i would not |eat*1|
would not eat green |eggs*1|
not eat green eggs |and*1|
eat green eggs and |ham*1|
samiam would you could |you*1|
would you could you |in*3|on*1|
you could you in |a*1|the*2|
could you in a |car*1|
you in a car |eat*1|
in a car eat |them*1|
a car eat them |eat*1|
car eat them eat |them*1|
eat them eat them |here*1|
them eat them here |they*1|
eat them here they |are*1|
them here they are |i*1|
here they are i |would*1|
they are i would |not*1|
are i would not |could*1|
i would not could |not*7|
would not could not |in*5|with*2|
not could not in |a*3|the*2|
could not in a |box*1|car*1|tree*1|
not in a car |not*1|sam*1|you*3|
in a car you |let*2|may*1|
a car you may |like*1|
car you may like |them*1|
you may like them |in*1|you*1|
may like them you |will*1|
like them you will |see*1|
them you will see |you*1|
you will see you |may*1|
will see you may |like*1|
see you may like |them*1|
may like them in |a*1|
them in a tree |i*1|
in a tree i |do*1|would*1|
a tree i would |not*1|
tree i would not |could*1|
not in a tree |i*1|not*3|
in a tree not |in*3|
a tree not in |a*3|
tree not in a |car*3|
a car you let |me*2|
car you let me |be*2|
you let me be |i*3|
let me be i |do*2|will*1|would*1|
me be i do |not*2|
be i do not |like*2|
in a box i |do*2|would*1|
a box i do |not*2|
box i do not |like*2|
with a fox i |do*1|will*3|
a fox i do |not*1|
fox i do not |like*1|
like them samiam a |train*1|
them samiam a train |a*1|
samiam a train a |train*1|
a train a train |a*2|could*1|
train a train a |train*2|
train a train could |you*1|
a train could you |would*1|
train could you would |you*1|
could you would you |on*1|with*1|
you would you on |a*1|
would you on a |train*1|
you on a train |not*1|
on a train not |in*1|on*1|
a train not on |train*1|
train not on train |not*1|
not on train not |in*1|
on train not in |a*1|
train not in a |car*1|tree*1|
in a car sam |let*1|
a car sam let |me*1|
car sam let me |be*1|
sam let me be |i*1|
me be i would |not*1|
be i would not |could*1|
a box i would |not*1|
box i would not |could*1|
not could not with |a*2|
could not with a |fox*1|goat*1|
a fox i will |not*3|
fox i will not |eat*3|
i will not eat |them*6|
will not eat them |anywhere*1|here*2|in*3|
not eat them in |a*2|the*1|
a house i will |not*1|
house i will not |eat*1|
or there i will |not*1|
there i will not |eat*1|
i do not eat |greem*1|
do not eat greem |eggs*1|
not eat greem eggs |and*1|
eat greem eggs and |ham*1|
greem eggs and ham |i*1|
like them samiam say |in*1|
them samiam say in |the*1|
samiam say in the |dark*1|
say in the dark |here*1|
in the dark here |in*1|
the dark here in |the*1|
dark here in the |dark*1|
here in the dark |would*1|
in the dark would |you*2|
the dark would you |could*2|
dark would you could |you*2|
could you in the |dark*1|rain*1|
you in the dark |i*1|
in the dark i |would*1|
the dark i would |not*1|
dark i would not |could*1|
could not in the |dark*1|rain*1|
not in the dark |not*2|would*1|
you in the rain |i*1|
in the rain i |would*1|
the rain i would |not*1|
rain i would not |could*1|
not in the rain |not*1|
in the rain not |in*2|
the rain not in |the*2|
rain not in the |dark*2|
in the dark not |in*1|on*1|
the dark not on |a*1|
dark not on a |train*1|
not on a train |not*1|
a train not in |a*1|
in a car not |in*1|
a car not in |a*1|
car not in a |tree*1|
a tree i do |not*1|
tree i do not |like*1|
not like them sam |you*1|
like them sam you |see*1|
them sam you see |not*1|
sam you see not |in*1|
you see not in |a*1|
see not in a |house*1|
a house not in |a*1|
house not in a |box*1|
with a mouse not |with*1|
a mouse not with |a*1|
mouse not with a |fox*1|
like them anywhere you |do*1|
them anywhere you do |not*1|
anywhere you do not |like*1|
you do not like |green*1|them*1|
like them samiam could |you*1|
them samiam could you |would*1|
samiam could you would |you*1|
you would you with |a*1|
would you with a |goat*1|
you with a goat |i*1|
with a goat i |will*1|would*1|
a goat i would |not*1|
goat i would not |could*1|
not with a goat |i*1|would*1|
with a goat would |you*1|
a goat would you |could*1|
goat would you could |you*1|
you could you on |a*1|
could you on a |boat*1|
you on a boat |i*1|
on a boat i |could*1|will*1|
a boat i could |not*1|
boat i could not |would*1|
i could not would |not*1|
could not would not |on*1|
not would not on |a*1|
would not on a |boat*1|
not on a boat |i*1|
a boat i will |not*1|
boat i will not |will*1|
i will not will |not*1|
will not will not |with*1|
not will not with |a*1|
will not with a |goat*1|
a goat i will |not*1|
goat i will not |eat*1|
eat them in the |rain*2|
them in the rain |and*1|not*1|
the dark not in |a*1|
dark not in a |tree*1|
like them samiam you |do*1|
them samiam you do |not*1|
samiam you do not |like*1|
not like them so |you*1|
like them so you |say*1|
them so you say |try*1|
so you say try |them*1|
you say try them |try*1|
say try them try |them*1|
try them try them |and*1|
them try them and |you*1|
try them and you |may*2|
them and you may |i*1|try*1|
and you may try |them*1|
you may try them |and*1|
may try them and |you*1|
and you may i |say*1|
you may i say |sam*1|
may i say sam |if*1|
i say sam if |you*1|
say sam if you |let*1|
sam if you let |me*1|
if you let me |be*1|
me be i will |try*1|
be i will try |them*1|
i will try them |you*1|
will try them you |will*1|
try them you will |see*1|
you will see  |and*1|
will see  and |he*1|
see  and he |tries*1|
 and he tries |them*1|
and he tries them |
he tries them  |say*1|
tries them  say |i*1|
them  say i |like*1|
 say i like |green*1|
say i like green |eggs*1|
i like green eggs |and*1|
ham i do i |like*1|
i do i like |them*1|
do i like them |samiam*1|
i like them samiam |and*1|
like them samiam and |i*1|
them samiam and i |would*1|
samiam and i would |eat*1|
and i would eat |them*2|
i would eat them |in*1|with*1|
would eat them in |a*1|
them in a boat |and*1|
in a boat and |i*1|
a boat and i |would*1|
boat and i would |eat*1|
would eat them with |a*1|
them with a goat |and*1|
with a goat and |i*1|
a goat and i |will*1|
goat and i will |eat*1|
and i will eat |them*5|
i will eat them |anywhere*1|here*1|in*3|with*2|
will eat them in |a*2|the*1|
in the rain and |in*1|
the rain and in |the*1|
rain and in the |dark*1|
and in the dark |and*1|
in the dark and |on*1|
the dark and on |a*1|
dark and on a |train*1|
and on a train |and*1|
on a train and |in*1|
a train and in |a*1|
train and in a |car*1|
and in a car |and*1|
in a car and |in*1|
a car and in |a*1|
car and in a |tree*1|
and in a tree |they*1|
in a tree they |are*1|
a tree they are |so*1|
tree they are so |good*1|
they are so good |so*1|
are so good so |good*1|
so good so good |you*1|
good so good you |see*1|
so good you see |so*1|
good you see so |i*1|
you see so i |will*1|
see so i will |eat*1|
so i will eat |them*1|
in a box and |i*1|
a box and i |will*1|
box and i will |eat*1|
will eat them with |a*2|
with a fox and |i*1|
a fox and i |will*1|
fox and i will |eat*1|
in a house and |i*1|
a house and i |will*1|
house and i will |eat*1|
with a mouse and |i*1|
a mouse and i |will*1|
mouse and i will |eat*1|
will eat them here |and*1|
eat them here and |there*1|
them here and there |say*1|
here and there say |i*1|
and there say i |will*1|
there say i will |eat*1|
say i will eat |them*1|
will eat them anywhere |i*1|
anywhere i do so |like*1|
i do so like |green*1|
do so like green |eggs*1|
so like green eggs |and*1|
eggs and ham thank |you*1|
and ham thank you |thank*1|
ham thank you thank |you*1|
thank you thank you |sam*1|
you thank you sam |i*1|
thank you sam i |am*1|
